nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000080	Orson Welles	1915	1985	actor,director,writer	tt0038991,tt0057427,tt0052311,tt0033467
nm0000081	Natalie Wood	1938	1981	actress,soundtrack,music_department	tt0048545,tt0055471,tt0055614,tt0057263
nm0000082	Victor Young	1900	1956	music_department,soundtrack,composer	tt0045061,tt3315342,tt0119094,tt0048960
nm0000083	Alan Miller	\N	\N	editor,writer,director	tt5969604,tt1617108,tt0424773,tt0969216
nm0000084	Li Gong	1965	\N	actress	tt0473444,tt0430357,tt0397535,tt0101640
nm0000085	Henner Hofmann	\N	\N	cinematographer,producer,camera_department	tt0113482,tt0097738,tt0097523,tt1825758
nm0000086	Louis de Funès	1914	1983	actor,writer,soundtrack	tt0079200,tt0069747,tt0083109,tt0074103
nm0000087	Elena Koreneva	1953	\N	actress,casting_director	tt0080912,tt0122969,tt0123138,tt5847740
nm0000088	Aleksey Korenev	1927	1995	director,writer,assistant_director	tt0068304,tt0100069,tt0049397,tt0191104
nm0000089	Richard Paul	1940	1998	actor	tt0117318,tt0088529,tt0086765,tt0075489
nm0000090	Armin Mueller-Stahl	1930	\N	actor,director,writer	tt0765443,tt0963178,tt0139809,tt0117631
nm0000091	Gérard Pirès	1942	\N	director,writer,actor	tt0152930,tt0282552,tt0421974,tt0064297
nm0000092	John Cleese	1939	\N	actor,writer,producer	tt0095159,tt0085959,tt0071853,tt0063929
nm0000093	Brad Pitt	1963	\N	actor,producer,soundtrack	tt0114746,tt0356910,tt0421715,tt1210166
nm0000094	J. Reifel	\N	\N	writer	tt0118631,tt0118886,tt0116030,tt0117915
nm0000095	Woody Allen	1935	\N	writer,director,actor	tt0091167,tt0075686,tt0097123,tt0079522
nm0000096	Gillian Anderson	1968	\N	actress,producer,soundtrack	tt0106179,tt2294189,tt0455590,tt0442632
nm0000097	Pamela Anderson	1967	\N	actress,producer,director	tt0115624,tt0306047,tt0426592,tt0267913
nm0000098	Jennifer Aniston	1969	\N	actress,producer,soundtrack	tt0108778,tt3442006,tt1723121,tt1038919
nm0000099	Patricia Arquette	1968	\N	actress,director,soundtrack	tt0412175,tt0145531,tt0108399,tt1065073
nm0000100	Rowan Atkinson	1955	\N	actor,writer,producer	tt0118689,tt0109831,tt0110357,tt0274166
nm0000101	Dan Aykroyd	1952	\N	writer,actor,producer	tt0087332,tt0118747,tt0097428,tt0080455
nm0000102	Kevin Bacon	1958	\N	actor,producer,soundtrack	tt0361127,tt0327056,tt0164052,tt0087277
nm0000103	Fairuza Balk	1974	\N	actress,soundtrack	tt0181875,tt0120586,tt0115963,tt0089908
nm0000104	Antonio Banderas	1960	\N	actor,soundtrack,producer	tt0112851,tt0120746,tt1189073,tt0120657
nm0000105	Adrienne Barbeau	1945	\N	actress,writer,soundtrack	tt1024648,tt0083767,tt0082340,tt0080749
nm0000106	Drew Barrymore	1975	\N	producer,actress,soundtrack	tt0151738,tt0343660,tt0120631,tt0120888
nm0000107	Kim Basinger	1953	\N	actress,soundtrack,producer	tt0096895,tt0108525,tt0119488,tt0337921
nm0000108	Luc Besson	1959	\N	writer,producer,director	tt0100263,tt0110413,tt0119116,tt0151137
nm0000109	Yasmine Bleeth	1968	\N	actress	tt0131857,tt0119271,tt0115285,tt0062595
nm0000110	Kenneth Branagh	1960	\N	actor,producer,director	tt3402236,tt0097499,tt0107616,tt0116477
nm0000111	Matthew Broderick	1962	\N	actor,soundtrack,director	tt0086567,tt0395251,tt0091042,tt0115798
nm0000112	Pierce Brosnan	1953	\N	actor,producer,soundtrack	tt0113189,tt0120347,tt0143145,tt0795421
nm0000113	Sandra Bullock	1964	\N	producer,actress,soundtrack	tt0212346,tt0111257,tt1454468,tt1041829
nm0000114	Steve Buscemi	1957	\N	actor,director,producer	tt0105236,tt4686844,tt0162346,tt0116282
nm0000115	Nicolas Cage	1964	\N	actor,producer,soundtrack	tt0435705,tt0119094,tt0117500,tt0113627
nm0000116	James Cameron	1954	\N	writer,producer,director	tt0090605,tt0499549,tt0120338,tt0103064
nm0000117	Neve Campbell	1973	\N	actress,producer,soundtrack	tt0117571,tt0120082,tt0134084,tt1262416
nm0000118	John Carpenter	1948	\N	soundtrack,writer,music_department	tt0096256,tt0077651,tt0080749,tt0074156
nm0000119	Tia Carrere	1967	\N	actress,soundtrack,producer	tt0111503,tt0275847,tt0105793,tt0207919
nm0000120	Jim Carrey	1962	\N	actor,writer,producer	tt0109040,tt0120382,tt0315327,tt0338013
nm0000121	Phoebe Cates	1963	\N	actress,soundtrack	tt0087363,tt0086143,tt0099700,tt0083929
nm0000122	Charles Chaplin	1889	1977	writer,soundtrack,actor	tt0044837,tt0027977,tt0032553,tt0039631
nm0000123	George Clooney	1961	\N	actor,producer,director	tt1124035,tt0465538,tt2177771,tt1193138
nm0000124	Jennifer Connelly	1970	\N	actress	tt0268978,tt0180093,tt0102803,tt0315983
nm0000125	Sean Connery	1930	\N	actor,producer,soundtrack	tt0058150,tt0094226,tt0059800,tt0117500
nm0000126	Kevin Costner	1955	\N	actor,producer,soundtrack	tt0102798,tt0099348,tt0103855,tt0119925
nm0000127	Wes Craven	1939	2015	writer,producer,director	tt0111686,tt0105121,tt0087800,tt0117571
nm0000128	Russell Crowe	1964	\N	actor,soundtrack,producer	tt0119488,tt0172495,tt0268978,tt1707386
nm0000129	Tom Cruise	1962	\N	actor,producer,soundtrack	tt0181689,tt0120755,tt0325710,tt0092099
nm0000130	Jamie Lee Curtis	1958	\N	actress,producer,director	tt0322330,tt0120694,tt0111503,tt0095159
nm0000131	John Cusack	1966	\N	actor,producer,writer	tt0119229,tt0450385,tt0098258,tt0146882
nm0000132	Claire Danes	1979	\N	actress,producer,soundtrack	tt0274558,tt1796960,tt0117509,tt0108872
nm0000133	Geena Davis	1956	\N	actress,producer,soundtrack	tt0116908,tt0091064,tt0103074,tt0164912
nm0000134	Robert De Niro	1943	\N	actor,producer,soundtrack	tt0081398,tt0075314,tt0212338,tt0101540
nm0000135	John Denver	1943	1997	soundtrack,music_department,actor	tt0120591,tt3967856,tt4649466,tt0076489
nm0000136	Johnny Depp	1963	\N	actor,producer,soundtrack	tt0408236,tt0325980,tt0383574,tt0449088
nm0000137	Bo Derek	1956	\N	actress,producer,miscellaneous	tt0114694,tt0099656,tt0086987,tt0083170
nm0000138	Leonardo DiCaprio	1974	\N	actor,producer,writer	tt0993846,tt0407887,tt0120338,tt1375666
nm0000139	Cameron Diaz	1972	\N	actress,producer,soundtrack	tt0259711,tt0119738,tt0129387,tt0160127
nm0000140	Michael Douglas	1944	\N	actor,producer,soundtrack	tt0093010,tt0094291,tt0103772,tt0185014
nm0000141	David Duchovny	1960	\N	actor,producer,director	tt0904208,tt0120902,tt0443701,tt0106179
nm0000142	Clint Eastwood	1930	\N	actor,producer,director	tt0112579,tt0105695,tt0405159,tt1205489
nm0000143	Erika Eleniak	1969	\N	actress	tt0094761,tt0106400,tt0105690,tt0083866
nm0000144	Cary Elwes	1962	\N	actor,producer,director	tt0107977,tt0119468,tt0387564,tt0093779
nm0000145	Sherilyn Fenn	1965	\N	actress,soundtrack	tt0092240,tt0100935,tt0105046,tt0098936
nm0000146	Ralph Fiennes	1962	\N	actor,director,soundtrack	tt2278388,tt0108052,tt0387131,tt1201607
nm0000147	Colin Firth	1960	\N	actor,producer,soundtrack	tt1315981,tt1504320,tt0243155,tt0795421
nm0000148	Harrison Ford	1942	\N	actor,writer,producer	tt0090329,tt0082971,tt0106977,tt0118571
nm0000149	Jodie Foster	1962	\N	actress,director,producer	tt0075314,tt0118884,tt0094608,tt0102926
nm0000150	Michael J. Fox	1961	\N	actor,producer,miscellaneous	tt0099088,tt0096874,tt0116365,tt0088763
nm0000151	Morgan Freeman	1937	\N	actor,producer,soundtrack	tt0097239,tt0114369,tt1057500,tt0405159
nm0000152	Richard Gere	1949	\N	actor,soundtrack,producer	tt0299658,tt0100405,tt0119395,tt0358135
nm0000153	Gina Gershon	1962	\N	actress,soundtrack,producer	tt0119094,tt0114436,tt0115736,tt1726669
nm0000154	Mel Gibson	1956	\N	actor,producer,director	tt0286106,tt0117438,tt0112573,tt0104714
nm0000155	Whoopi Goldberg	1955	\N	actress,producer,writer	tt0099653,tt0088939,tt0108147,tt0105417
nm0000156	Jeff Goldblum	1952	\N	actor,soundtrack,producer	tt0107290,tt0116629,tt0091064,tt2278388
nm0000157	Linda Hamilton	1956	\N	actress	tt0088247,tt0092319,tt0103064,tt0118928
nm0000158	Tom Hanks	1956	\N	producer,actor,soundtrack	tt0162222,tt0120815,tt0109830,tt0094737
nm0000159	Teri Hatcher	1964	\N	actress,soundtrack,writer	tt0410975,tt0327597,tt0120347,tt0106057
nm0000160	Ethan Hawke	1970	\N	actor,writer,director	tt0139654,tt0381681,tt0112471,tt2209418
nm0000161	Salma Hayek	1966	\N	actress,producer,soundtrack	tt1615065,tt0120891,tt0112851,tt0120679
nm0000162	Anne Heche	1969	\N	actress,writer,producer	tt0120461,tt0120828,tt0120885,tt0119008
nm0000163	Dustin Hoffman	1937	\N	actor,producer,soundtrack	tt0064665,tt0095953,tt0084805,tt0061722
nm0000164	Anthony Hopkins	1937	\N	actor,soundtrack,composer	tt0212985,tt0975645,tt0102926,tt0119051
nm0000165	Ron Howard	1954	\N	actor,producer,director	tt0268978,tt0367279,tt0112384,tt0870111
nm0000166	Helen Hunt	1963	\N	actress,producer,director	tt0162222,tt0117998,tt0103484,tt0119822
nm0000167	Elizabeth Hurley	1965	\N	actress,producer	tt0118655,tt0230030,tt0105104,tt0145660
nm0000168	Samuel L. Jackson	1948	\N	actor,producer,soundtrack	tt0417148,tt0119396,tt3460252,tt0110912
nm0000169	Tommy Lee Jones	1946	\N	actor,director,soundtrack	tt0106977,tt2398231,tt0477348,tt0443272
nm0000170	Milla Jovovich	1975	\N	actress,soundtrack,composer	tt0119116,tt0432021,tt1220198,tt1220634
nm0000171	Ashley Judd	1968	\N	actress,producer,director	tt0120679,tt0113277,tt0470705,tt0150377
nm0000172	Harvey Keitel	1939	\N	actor,producer,soundtrack	tt0110912,tt0103759,tt0105236,tt2278388
nm0000173	Nicole Kidman	1967	\N	actress,producer,soundtrack	tt0203009,tt0274558,tt0159365,tt0230600
nm0000174	Val Kilmer	1959	\N	actor,soundtrack,producer	tt0120053,tt0101761,tt0373469,tt0235737
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0091499,tt0111161,tt0100157,tt0083767
nm0000176	Nastassja Kinski	1961	\N	actress,producer,soundtrack	tt0111400,tt0087884,tt0083722,tt0080009
nm0000177	Kevin Kline	1947	\N	actor,soundtrack,director	tt0119360,tt0113117,tt0095159,tt0120891
nm0000178	Diane Lane	1965	\N	actress,soundtrack	tt0250797,tt0086066,tt2096673,tt0328589
nm0000179	Jude Law	1972	\N	actor,producer,soundtrack	tt2278388,tt0376541,tt0134119,tt0346156
nm0000180	David Lean	1908	1991	editor,director,writer	tt0037558,tt0056172,tt0059113,tt0050212
nm0000181	Heather Locklear	1961	\N	actress,producer,soundtrack	tt0380623,tt0103491,tt0119695,tt0087262
nm0000182	Jennifer Lopez	1969	\N	actress,producer,soundtrack	tt3181822,tt0299930,tt0252076,tt0278435
nm0000183	Traci Lords	1968	\N	actress,soundtrack,producer	tt1984153,tt0120611,tt1007028,tt0099329
nm0000184	George Lucas	1944	\N	writer,producer,editor	tt0076759,tt0066434,tt0069704,tt0082971
nm0000185	Dolph Lundgren	1957	\N	actor,producer,director	tt1764651,tt0105698,tt0089927,tt0093507
nm0000186	David Lynch	1946	\N	writer,director,producer	tt0105665,tt0460829,tt0166924,tt0098936
nm0000187	Madonna	1958	\N	soundtrack,actress,music_department	tt0099422,tt0246460,tt0156841,tt0116250
nm0000188	Steve Martin	1945	\N	writer,actor,soundtrack	tt0079367,tt0383216,tt0102250,tt0093886
nm0000189	Jenny McCarthy	1972	\N	actress,producer,writer	tt0455967,tt0134084,tt0327643,tt0131857
nm0000190	Matthew McConaughey	1969	\N	actor,producer,soundtrack	tt0993846,tt0790636,tt1935179,tt1915581
nm0000191	Ewan McGregor	1971	\N	actor,writer,soundtrack	tt0120915,tt0203009,tt1322269,tt0117951
nm0000192	Alyssa Milano	1972	\N	actress,producer,soundtrack	tt0086827,tt0088944,tt0158552,tt0116287
nm0000193	Demi Moore	1962	\N	actress,producer,director	tt0305357,tt0119173,tt0117765,tt0107211
nm0000194	Julianne Moore	1960	\N	actress,soundtrack,producer	tt0118749,tt0274558,tt3316960,tt0842926
nm0000195	Bill Murray	1950	\N	actor,soundtrack,writer	tt0128445,tt0335266,tt1156398,tt1748122
nm0000196	Mike Myers	1963	\N	actor,writer,soundtrack	tt0118655,tt0811138,tt0295178,tt0145660
nm0000197	Jack Nicholson	1937	\N	actor,soundtrack,producer	tt0071315,tt0407887,tt0073486,tt0119822
nm0000198	Gary Oldman	1958	\N	actor,soundtrack,producer	tt0468569,tt4555426,tt0103874,tt1340800
nm0000199	Al Pacino	1940	\N	actor,soundtrack,director	tt0105323,tt0070666,tt0072890,tt0068646
nm0000200	Bill Paxton	1955	2017	actor,producer,director	tt0117998,tt0111503,tt0264616,tt0090605
nm0000201	Michelle Pfeiffer	1958	\N	actress,soundtrack,producer	tt0094947,tt0112792,tt0117247,tt0161081
nm0000202	Ryan Phillippe	1974	\N	actor,producer,director	tt0202677,tt0280707,tt0375679,tt0139134
nm0000203	River Phoenix	1970	1993	actor,soundtrack	tt0091557,tt0102494,tt0096018,tt0092005
nm0000204	Natalie Portman	1981	\N	actress,producer,soundtrack	tt1619029,tt0376541,tt0434409,tt0947798
nm0000205	Parker Posey	1968	\N	actress,soundtrack,writer	tt0134084,tt0348150,tt0359013,tt0406759
nm0000206	Keanu Reeves	1964	\N	actor,producer,soundtrack	tt0133093,tt0102685,tt0111257,tt0234215
nm0000207	Christina Ricci	1980	\N	actress,producer,soundtrack	tt0112642,tt0101272,tt0811080,tt0118789
nm0000208	Molly Ringwald	1968	\N	actress,soundtrack,music_department	tt0088128,tt0088847,tt0091790,tt0095169
nm0000209	Tim Robbins	1958	\N	actor,producer,director	tt0094812,tt0105151,tt0111161,tt0327056
nm0000210	Julia Roberts	1967	\N	actress,producer,soundtrack	tt0100405,tt0119738,tt0195685,tt1322269
nm0000211	Mimi Rogers	1956	\N	actress,producer,soundtrack	tt0120738,tt0210070,tt0118655,tt0488085
nm0000212	Meg Ryan	1961	\N	actress,producer,soundtrack	tt0098635,tt0108160,tt0120632,tt0128853
nm0000213	Winona Ryder	1971	\N	actress,producer,soundtrack	tt0110367,tt0172493,tt0118583,tt0099487
nm0000214	Mia Sara	1967	\N	actress,soundtrack	tt0089469,tt0111438,tt0091042,tt0112515
nm0000215	Susan Sarandon	1946	\N	actress,producer,soundtrack	tt0103074,tt0094812,tt0112818,tt0120686
nm0000216	Arnold Schwarzenegger	1947	\N	actor,producer,director	tt0093773,tt0100802,tt0111503,tt0103064
nm0000217	Martin Scorsese	1942	\N	producer,director,actor	tt0106226,tt0099685,tt0490215,tt0075314
nm0000218	Kristin Scott Thomas	1960	\N	actress,soundtrack,director	tt1602613,tt0280707,tt0109831,tt0116209
nm0000219	Steven Seagal	1952	\N	producer,actor,writer	tt0110725,tt0242445,tt0094602,tt0105690
nm0000220	Joan Severance	1958	\N	actress,producer	tt0099141,tt0098282,tt0112519,tt0115696
nm0000221	Charlie Sheen	1965	\N	actor,producer,soundtrack	tt0107144,tt0094291,tt0369179,tt0108333
nm0000222	Brooke Shields	1965	\N	actress,producer,soundtrack	tt0080453,tt0115376,tt0805570,tt0078111
nm0000223	Elisabeth Shue	1963	\N	actress,soundtrack,producer	tt0120053,tt0113627,tt0092513,tt0164052
nm0000224	Alicia Silverstone	1976	\N	actress,producer,soundtrack	tt0124298,tt0112697,tt0119086,tt0118688
nm0000225	Christian Slater	1969	\N	actor,producer,soundtrack	tt4158110,tt0102798,tt0124198,tt0108399
nm0000226	Will Smith	1968	\N	music_department,actor,producer	tt0119654,tt0098800,tt0120891,tt0480249
nm0000227	Mira Sorvino	1967	\N	actress,producer,soundtrack	tt0113819,tt0364343,tt0120032,tt0119675
nm0000228	Kevin Spacey	1959	\N	actor,producer,soundtrack	tt0114814,tt0114369,tt0119488,tt0169547
nm0000229	Steven Spielberg	1946	\N	producer,writer,director	tt0120815,tt0083866,tt0082971,tt0108052
nm0000230	Sylvester Stallone	1946	\N	actor,writer,producer	tt3076658,tt0084602,tt0089927,tt0075148
nm0000231	Oliver Stone	1946	\N	producer,director,writer	tt0091763,tt0096969,tt0346491,tt0102138
nm0000232	Sharon Stone	1958	\N	actress,producer,soundtrack	tt0114214,tt0103772,tt0108162,tt0112641
nm0000233	Quentin Tarantino	1963	\N	writer,actor,producer	tt3460252,tt0110912,tt0105236,tt0116367
nm0000234	Charlize Theron	1975	\N	actress,producer,soundtrack	tt1392190,tt1735898,tt0340855,tt2406566
nm0000235	Uma Thurman	1970	\N	actress,soundtrack,writer	tt0110912,tt0378194,tt0266697,tt0118688
nm0000236	Jennifer Tilly	1958	\N	actress,soundtrack,writer	tt0144120,tt0387575,tt0115736,tt0119528
nm0000237	John Travolta	1954	\N	actor,soundtrack,producer	tt0185183,tt0427327,tt0119094,tt0110912
nm0000238	Shannon Tweed	1957	\N	actress,producer,set_decorator	tt0165710,tt0112942,tt0110675,tt0094834
nm0000239	Liv Tyler	1977	\N	actress,producer,soundtrack	tt0482606,tt0120737,tt0167260,tt0120591
nm0000240	Skeet Ulrich	1970	\N	actor,director,producer	tt0115963,tt0163579,tt0409572,tt0117571
nm0000241	Jean-Claude Van Damme	1960	\N	actor,writer,producer	tt0092675,tt0101764,tt0119013,tt0097659
nm0000242	Mark Wahlberg	1971	\N	producer,actor,soundtrack	tt0118749,tt0964517,tt0407887,tt1637725
nm0000243	Denzel Washington	1954	\N	actor,producer,soundtrack	tt2671706,tt1037705,tt0104797,tt0139654
nm0000244	Sigourney Weaver	1949	\N	actress,soundtrack,producer	tt0177789,tt0118583,tt0078748,tt0499549
nm0000245	Robin Williams	1951	2014	actor,soundtrack,writer	tt0265459,tt0119217,tt0093105,tt0107614
nm0000246	Bruce Willis	1955	\N	actor,soundtrack,producer	tt0095016,tt0088571,tt0110912,tt0167404
nm0000247	John Woo	1946	\N	director,producer,writer	tt0092263,tt0104684,tt0097202,tt0425637
nm0000248	Edward D. Wood Jr.	1924	1978	writer,director,actor	tt0052077,tt0047127,tt0047898,tt0045826
nm0000249	James Woods	1947	\N	actor,producer,soundtrack	tt0112641,tt0120877,tt0086541,tt0119282
nm0000250	Renée Zellweger	1969	\N	actress,soundtrack,producer	tt0116695,tt0159365,tt0243155,tt0299658
nm0000251	Timothy Dowling	1973	\N	actor,writer	tt2120120,tt0430922,tt1596350,tt0181852
nm0000252	Robert Ellis	1892	1974	actor,director,writer	tt0028651,tt0006213,tt0030778,tt0023693
nm0000253	Robert Ellis	1888	1935	art_director,miscellaneous	tt0026195,tt0025073,tt0025712,tt0025713
